x,y,z
-1.6719710827,-0.6026060581,-0.4103107452
-3.5645854473,-1.2840327024,0.198562637
-1.8729313612,-0.6746661663,-0.3869606555
-3.5504944324,-1.2782567739,0.3301459551
-2.1635391712,-0.7784956694,-0.3641794622
-3.5603506565,-1.2804017067,0.4645659924
-2.563015461,-0.9212269187,-0.3344095051
-3.5582420826,-1.2782409191,0.5988311768
-3.1407449245,-1.1282618046,-0.2919717431
-3.5698873997,-1.2817209959,0.7372859716
-3.5661513805,-1.2796770334,-0.198562637
-3.5677859783,-1.2795606852,0.8750596046
-3.5728311539,-1.2806665897,-0.0662493333
-3.5682263374,-1.2783131599,1.0156060457
-1.4919593334,-0.5324367285,-0.4244632721
-3.5597708225,-1.2696779966,0.0659701005
-1.6722288132,-0.5961121321,-0.4098608494
-3.5671646595,-1.2709118128,0.1984579712
-1.8863712549,-0.6720775962,-0.3892503977
-3.5605654716,-1.2678604126,0.3306688666
-2.1569383144,-0.76762712,-0.3626151383
-3.5629279613,-1.2673006058,0.4643222392
-2.5643451214,-0.9116097093,-0.3341657519
-3.5664050579,-1.2671351433,0.5994569659
-3.1315224171,-1.1126223803,-0.2907515466
-3.5595393181,-1.2639962435,0.7342330813
-3.566832304,-1.2658848763,-0.1983532906
-3.5777409077,-1.2690525055,0.8764092922
-3.5659711361,-1.2641780376,-0.066039905
-3.5726666451,-1.2658499479,1.0156060457
-1.5010956526,-0.5297973156,-0.4265338182
-3.571723938,-1.2599058151,0.0661097169
-1.6632722616,-0.5863832235,-0.4071614146
-3.567592144,-1.2577472925,0.1982486248
-1.8868539333,-0.6648362875,-0.3888687491
-3.5800032616,-1.2607190609,0.3320633769
-2.157741785,-0.7594375014,-0.3623022735
-2.5767168999,-0.9063944817,-0.3353844583
-3.157943964,-1.1096101999,-0.2928432822
-3.6407704353,-1.2778329849,0.8908061981
-1.5101395845,-0.527364254,-0.4286043644
-1.6780875921,-0.5853576064,-0.4103107452
-1.8927559853,-0.6598681211,-0.3896319866
-2.1677103043,-0.7548764944,-0.3635537326
-4.4001278877,-1.5314255953,0.5720547438
-2.5609605312,-0.8913196325,-0.3329470754
-4.4012470245,-1.5309550762,0.7380579114
-3.1540784836,-1.0965149403,-0.2921460569
-3.6292591095,-1.2610015869,0.7468264699
-4.3885498047,-1.523963213,-0.2434668988
-3.6136918068,-1.2548868656,0.8831578493
-4.4036149979,-1.5283323526,-0.0813631192
-4.4077854156,-1.5289177895,1.2500960827
-1.4972726107,-0.5173065662,-0.4244632721
-4.4022297859,-1.5201083422,0.0812933072
-1.6708087921,-0.5766109228,-0.4080612361
-4.3879561424,-1.5134643316,0.2432575524
-1.8856539726,-0.6503871083,-0.3877238929
-4.4076581001,-1.5194003582,0.4078888893
-2.1720690727,-0.7483277917,-0.3638666272
-4.4014286995,-1.5155330896,0.5715672374
-2.5584249496,-0.8804374933,-0.3322158456
-4.4028282166,-1.5142973661,0.7374321818
-3.1671175957,-1.0892903805,-0.293017596
-3.6278510094,-1.2470448017,0.7456815839
-4.3992452621,-1.5113482475,-0.2437808961
-4.3975749016,-1.5090571642,-0.0811536908
-4.4167494774,-1.5147767067,1.2511312962
-1.4990690947,-0.5120772719,-0.4244632721
-4.4056167603,-1.504086256,0.0812584013
-1.6801888943,-0.5732919574,-0.4098608494
-4.4083342552,-1.5032961369,0.2440949082
-1.882338047,-0.6419003606,-0.3865790367
-4.4016199112,-1.5001490116,0.4068430066
-2.1765379906,-0.7413775921,-0.3641794622
-4.4142079353,-1.5027197599,0.5725422502
-2.5671205521,-0.8734196424,-0.3329470754
-4.4043474197,-1.497646451,0.7368063927
-3.1614692211,-1.0750204325,-0.2921460569
-4.4128966331,-1.4996954203,0.9059611559
-4.4139504433,-1.4991943836,-0.2443042696
-4.4010906219,-1.4939687252,1.0730165243
-4.3990283012,-1.4924125671,-0.0810838863
-4.4110331535,-1.4956281185,1.2480254173
-1.5045078993,-0.5080775619,-0.4254985154
-4.3975772858,-1.4842221737,0.0810140744
-1.6858727932,-0.5686695576,-0.4107606411
-4.4154481888,-1.4885370731,0.2441996038
-1.895729661,-0.6390888691,-0.3888687491
-4.406829834,-1.4847751856,0.4068430066
-2.1678800583,-0.729993701,-0.3623022735
-4.3968501091,-1.4797041416,0.5696173906
-2.5776803493,-0.8669841886,-0.3339220583
-4.4058032036,-1.481005311,0.7361807227
-3.1483900547,-1.057716012,-0.2905772328
-4.3957719803,-1.4767796993,0.9013817906
-4.4077963829,-1.4799621105,-0.2436762303
-4.4247531891,-1.4847964048,1.0775156021
-4.4042105675,-1.4770489931,-0.0810838863
-4.4034051895,-1.475922823,1.2444019318
-1.5045275688,-0.5019484162,-0.4249808788
-4.4103193283,-1.4713939428,0.0811536908
-1.673058033,-0.5578500032,-0.4071614146
-4.4092483521,-1.4693266153,0.2435715646
-1.8980592489,-0.6321364045,-0.3888687491
-4.4179134369,-1.4705010653,0.407365948
-2.1667919159,-0.720795989,-0.3616765141
-4.4057555199,-1.4656002522,0.5701048374
-2.5806906223,-0.8579815626,-0.3339220583
-4.4259428978,-1.470600009,0.738683641
-3.1558446884,-1.0479753017,-0.2909258604
-4.3992919922,-1.4600387812,0.9010000825
-4.4037127495,-1.4606540203,-0.2431528866
-4.4209170341,-1.4655028582,1.0752660036
-4.4169325829,-1.4641821384,-0.0812235028
-4.4268689156,-1.4666184187,1.2495783567
-1.5062705278,-0.4966935515,-0.4249808788
-4.4175820351,-1.4558454752,0.0811885968
-1.6713894606,-0.5504953265,-0.4062616229
-4.3975300789,-1.447535634,0.2426295131
-1.9039839506,-0.626734674,-0.3896319866
-4.4135560989,-1.451957345,0.4064943492
-2.1786777973,-0.7163124084,-0.3632408679
-4.390352726,-1.4426258802,0.5674237013
-2.5743877888,-0.8454202414,-0.3327033222
-4.4237957001,-1.4519031048,0.7374321818
-3.1670560837,-1.039437294,-0.2916231155
-4.4248819351,-1.451405406,0.905197978
-4.4011926651,-1.4427844286,-0.2427341789
-4.4167466164,-1.4470282793,1.0730165243
-4.4146676064,-1.4454953671,-0.0810838863
-7.0522518158,-2.3077571392,1.9882479906
-1.5043215752,-0.4902354777,-0.4239456356
-4.4264392853,-1.441655755,0.0812584013
-1.6788601875,-0.5464667678,-0.4076113105
-1.8930914402,-0.6158334017,-0.3869606555
-2.1849222183,-0.7099243999,-0.3638666272
-2.5773231983,-0.8364293575,-0.3327033222
-4.4325947762,-1.4376721382,0.7380579114
