x,y,z
0.0862337 , 3.20928 , -0.363504
-0.613013 , 15.1926 , 2.46503
0.00979412 , 4.52605 , -0.362706
-0.607024 , 15.1636 , 3.00888
-0.163031 , 7.48214 , -0.354697
-0.582746 , 14.8643 , 3.49536
-0.406323 , 11.7035 , -0.161303
-0.599576 , 15.2769 , 4.16035
0.193924 , 1.4541 , -0.367036
-0.573855 , 15.0024 , 0.309993
0.182781 , 1.65594 , -0.357872
-0.578686 , 15.2094 , 0.847817
0.164112 , 1.99794 , -0.362009
-0.57224 , 15.2178 , 1.38456
0.138965 , 2.46028 , -0.361309
-0.566952 , 15.1994 , 1.92188
0.0985933 , 3.19209 , -0.36136
-0.560353 , 15.2055 , 2.46644
0.0250845 , 4.5389 , -0.363789
-0.552666 , 15.1922 , 3.0137
-0.135884 , 7.49169 , -0.35519
-0.539888 , 15.0853 , 3.54578
-0.356531 , 11.5461 , -0.158769
-0.547538 , 15.3069 , 4.16747
0.199469 , 1.4486 , -0.365503
-0.519867 , 15.0274 , 0.310233
0.188909 , 1.65822 , -0.358338
-0.5235 , 15.2264 , 0.848397
0.171661 , 1.99049 , -0.36051
-0.519583 , 15.2327 , 1.38546
0.147814 , 2.45878 , -0.361023
-0.5123 , 15.2262 , 1.92466
0.110561 , 3.19075 , -0.361152
-0.50495 , 15.2184 , 2.46785
0.0425072 , 4.52786 , -0.362803
-0.500265 , 15.2108 , 3.0166
-0.109164 , 7.48511 , -0.354856
-0.490023 , 15.1465 , 3.55917
-0.305652 , 11.3846 , -0.156172
-0.493003 , 15.3446 , 4.17665
0.206012 , 1.42765 , -0.359844
-0.46675 , 15.0202 , 0.309895
0.194854 , 1.65853 , -0.358356
-0.470386 , 15.2331 , 0.848452
0.17951 , 1.98302 , -0.359012
-0.463382 , 15.2315 , 1.38494
0.157087 , 2.45727 , -0.360739
-0.459947 , 15.2487 , 1.92695
0.121564 , 3.19727 , -0.361912
-0.452042 , 15.229 , 2.46895
0.0590474 , 4.51672 , -0.361814
-0.444341 , 15.2135 , 3.01644
-0.0815618 , 7.48648 , -0.354937
-0.433876 , 15.1395 , 3.55674
-0.258027 , 11.2248 , -0.153598
-0.439536 , 15.353 , 4.17805
0.210455 , 1.43174 , -0.360889
-0.41291 , 14.9387 , 0.308211
0.200502 , 1.6588 , -0.358372
-0.420999 , 15.2634 , 0.849791
0.185332 , 1.9951 , -0.361311
-0.416202 , 15.2517 , 1.38638
0.165221 , 2.45172 , -0.359829
-0.408244 , 15.2293 , 1.92411
0.132045 , 3.20372 , -0.36267
-0.403932 , 15.2886 , 2.47792
0.0733793 , 4.51739 , -0.361856
-0.396224 , 15.2118 , 3.01553
-0.0586151 , 7.50354 , -0.355831
-0.385987 , 15.1378 , 3.5557
-0.213021 , 11.0547 , -0.150849
-0.388122 , 15.3476 , 4.17582
0.215355 , 1.43776 , -0.362453
-0.351038 , 14.7172 , 0.303963
0.206701 , 1.65322 , -0.357045
-0.367891 , 15.2738 , 0.850059
0.192706 , 1.98952 , -0.360192
-0.364058 , 15.2839 , 1.38886
0.174271 , 2.44421 , -0.35861
-0.43894 , 17.2525 , 2.17398
0.143384 , 3.20421 , -0.362703
-0.352349 , 15.3382 , 2.48531
0.0894703 , 4.5141 , -0.361558
-0.343674 , 15.2318 , 3.01882
-0.0317714 , 7.4927 , -0.355291
-0.332744 , 15.1343 , 3.55419
-0.169035 , 10.9285 , -0.148834
-0.333611 , 15.3306 , 4.17047
0.219829 , 1.45535 , -0.367112
-0.290948 , 14.5016 , 0.299829
0.212706 , 1.65151 , -0.356614
-0.314494 , 15.2779 , 0.850007
0.199651 , 1.99374 , -0.360973
-0.310463 , 15.2841 , 1.38853
0.182574 , 2.45443 , -0.360192
-0.379689 , 17.2846 , 2.17748
0.155414 , 3.18681 , -0.360558
-0.298936 , 15.3483 , 2.48641
0.106027 , 4.51874 , -0.361953
-0.291074 , 15.2535 , 3.0225
-0.00462922 , 7.47179 , -0.354235
-0.281826 , 15.1928 , 3.56713
-0.125188 , 10.7821 , -0.146484
-0.276204 , 15.2304 , 4.14279
0.225752 , 1.44397 , -0.364032
-0.234445 , 14.3436 , 0.296757
0.218484 , 1.65563 , -0.357528
-0.26121 , 15.2859 , 0.850168
0.207616 , 1.98028 , -0.358335
-0.252749 , 15.2424 , 1.38449
0.191593 , 2.45871 , -0.360841
-0.31843 , 17.265 , 2.1746
0.166765 , 3.18524 , -0.360349
-0.246014 , 15.3739 , 2.49003
0.121958 , 4.51932 , -0.362
-0.235648 , 15.2752 , 3.02616
0.0224413 , 7.48675 , -0.355038
-0.227133 , 15.2299 , 3.57509
-0.083324 , 10.6635 , -0.144598
-0.225854 , 15.323 , 4.16704
0.231395 , 1.43063 , -0.360435
-0.175035 , 14.1375 , 0.292806
0.224399 , 1.66558 , -0.359789
-0.208449 , 15.3117 , 0.851284
0.21462 , 1.98248 , -0.358736
-0.201188 , 15.3019 , 1.38944
0.200332 , 2.459 , -0.360867
-0.256146 , 17.3048 , 2.17908
0.178415 , 3.19159 , -0.361111
-0.193026 , 15.4033 , 2.49427
0.138263 , 4.50789 , -0.361011
-0.18252 , 15.2887 , 3.0283
0.0486725 , 7.4896 , -0.355219
-0.172699 , 15.1946 , 3.56635
-0.0467928 , 10.6927 , -0.145175
-0.173849 , 15.3807 , 4.18193
0.236431 , 1.43465 , -0.361482
-0.122014 , 13.9311 , 0.288874
0.230298 , 1.65796 , -0.358012
-0.155642 , 15.3413 , 0.852613
0.221526 , 1.98858 , -0.359897
-0.147885 , 15.3135 , 1.39016
0.208804 , 2.45333 , -0.359958
-0.197787 , 17.2768 , 2.17523
0.18898 , 3.19785 , -0.361869
-0.139304 , 15.4128 , 2.49537
0.154152 , 4.50835 , -0.361058
-0.132088 , 15.3059 , 3.03122
0.0742073 , 7.47035 , -0.354262
-0.119996 , 15.1142 , 3.54724
-0.00953349 , 10.7018 , -0.14542
-0.120487 , 15.4016 , 4.18696
0.241234 , 1.43864 , -0.362529
-0.0682812 , 13.7365 , 0.285157
0.236241 , 1.65812 , -0.35803
-0.101678 , 15.3327 , 0.851922
0.228017 , 1.99857 , -0.361817
-0.0974983 , 15.3367 , 1.39194
0.217523 , 2.45356 , -0.359984
-0.137693 , 17.2942 , 2.17701
0.200544 , 3.18823 , -0.360691
-0.0856216 , 15.4261 , 2.49709
0.169853 , 4.51673 , -0.361796
-0.0788569 , 15.3229 , 3.03412
0.100681 , 7.46104 , -0.353824
-0.0650203 , 15.026 , 3.52632
0.0251675 , 10.8227 , -0.147533
-0.0673333 , 15.4377 , 4.19615
0.246276 , 1.45616 , -0.367191
-0.0172059 , 13.6017 , 0.282537
0.242316 , 1.65242 , -0.356702
-0.0480001 , 15.334 , 0.851763
0.235463 , 2.00071 , -0.36222
-0.0413131 , 15.348 , 1.39265
0.226636 , 2.45574 , -0.360322
-0.0773283 , 17.3036 , 2.17781
0.211995 , 3.18054 , -0.359756
-0.0319245 , 15.4431 , 2.49945
0.185857 , 4.5131 , -0.361498
-0.0227567 , 15.336 , 3.03626
0.12819 , 7.46164 , -0.353905
-0.0123172 , 15.1596 , 3.55685
0.0626266 , 10.8475 , -0.148046
-0.0142032 , 15.4871 , 4.20896
0.251663 , 1.44854 , -0.365142
0.0359281 , 13.4307 , 0.279257
0.248353 , 1.66228 , -0.358963
0.00982127 , 15.2532 , 0.847243
0.242747 , 1.993 , -0.36072
0.0119691 , 15.3749 , 1.39478
0.235187 , 2.46579 , -0.361905
0.0162336 , 15.5365 , 1.95913
0.223712 , 3.18672 , -0.360518
0.0248787 , 15.4422 , 2.49896
0.201631 , 4.52137 , -0.362236
0.0305953 , 15.3585 , 3.04031
0.15429 , 7.46811 , -0.354293
